Projet_ID,Client,Commande_ID,Montant_TTC,Date_Commande
DRC0100,Client_123,CMD10000,6345.02,2024-07-09
DRC0193,Client_334,CMD20001,9312.15,2024-04-12
DRC0069,Client_200,CMD10002,11867.57,2024-06-26
DRC0047,Client_193,CMD10003,10954.12,2024-01-08
DRC0024,Client_20,CMD10004,2682.53,2024-03-03
DRC0118,Client_308,CMD20005,1396.53,2024-03-16
DRC0054,Client_156,CMD10006,2181.67,2024-07-10
DRC0090,Client_247,CMD10007,177.42,2024-03-15
DRC0004,Client_54,CMD10008,977.34,2024-05-11
DRC0016,Client_148,CMD10009,5171.68,2024-01-20
DRC0022,Client_8,CMD10010,6547.53,2024-03-04
DRC0003,Client_195,CMD10011,7184.0,2024-01-31
DRC0028,Client_43,CMD10012,4623.82,2024-07-06
DRC0032,Client_280,CMD10013,8834.3,2024-05-03
DRC0053,Client_88,CMD10014,12069.08,2024-02-21
DRC0079,Client_139,CMD10015,7052.66,2024-05-23
DRC0012,Client_275,CMD10016,10352.58,2024-03-28
DRC0095,Client_177,CMD10017,2731.02,2024-02-10
DRC0050,Client_207,CMD10018,4899.84,2024-07-13
DRC0040,Client_221,CMD10019,3833.45,2024-03-30
DRC0041,Client_170,CMD10020,6725.5,2024-04-16
DRC0008,Client_216,CMD10021,8271.51,2024-03-10
DRC0065,Client_264,CMD10022,1052.16,2024-01-10
DRC0013,Client_232,CMD10023,8070.55,2024-06-17
DRC0053,Client_262,CMD10024,10404.72,2024-04-03
DRC0043,Client_231,CMD10025,9024.68,2024-06-21
DRC0100,Client_161,CMD10026,2155.94,2024-03-25
DRC0009,Client_197,CMD10027,1590.77,2024-01-27
DRC0143,Client_368,CMD20028,1901.16,2024-07-17
DRC0010,Client_150,CMD10029,6122.61,2024-07-10
DRC0058,Client_46,CMD10030,917.1,2024-01-06
DRC0007,Client_89,CMD10031,7428.28,2024-02-20
DRC0068,Client_160,CMD10032,3049.23,2024-07-04
DRC0165,Client_313,CMD20033,9068.28,2024-03-27
DRC0047,Client_280,CMD10034,6507.18,2024-03-28
DRC0018,Client_87,CMD10035,9602.14,2024-07-02
DRC0051,Client_296,CMD10036,10797.71,2024-06-03
DRC0046,Client_298,CMD10037,5842.4,2024-06-03
DRC0068,Client_115,CMD10038,10106.09,2024-01-28
DRC0023,Client_225,CMD10039,11226.96,2024-01-28
DRC0196,Client_334,CMD20040,8777.17,2024-05-18
DRC0083,Client_116,CMD10041,4657.76,2024-04-03
DRC0046,Client_81,CMD10042,1656.16,2024-04-06
DRC0005,Client_65,CMD10043,7777.31,2024-01-23
DRC0041,Client_177,CMD10044,1380.05,2024-03-02
DRC0082,Client_277,CMD10045,6004.54,2024-06-23
DRC0075,Client_197,CMD10046,6090.13,2024-01-10
DRC0050,Client_159,CMD10047,7585.61,2024-01-02
DRC0078,Client_192,CMD10048,2353.33,2024-01-19
DRC0173,Client_326,CMD20049,1383.52,2024-05-26
DRC0163,Client_353,CMD20050,7293.86,2024-05-15
DRC0079,Client_191,CMD10051,11802.0,2024-04-03
DRC0099,Client_95,CMD10052,8072.0,2024-02-26
DRC0027,Client_233,CMD10053,8279.84,2024-01-27
DRC0092,Client_135,CMD10054,1588.39,2024-02-25
DRC0094,Client_15,CMD10055,8006.2,2024-06-08
DRC0163,Client_400,CMD20056,2879.78,2024-01-28
DRC0018,Client_78,CMD10057,7303.02,2024-02-03
DRC0020,Client_153,CMD10058,9386.46,2024-03-22
