Code_Projet,Nom_Client,Reference_Commande,Montant_HT,Date_Creation
DRC0100,Client_123,CMD10000,5306.07,2024-07-09
DRC0086,Client_282,CMD10001,7891.65,2024-04-12
DRC0069,Client_200,CMD10002,9889.64,2024-06-26
DRC0047,Client_193,CMD10003,9283.15,2024-01-08
DRC0024,Client_20,CMD10004,2191.65,2024-03-03
DRC0054,Client_275,CMD10005,1183.5,2024-03-16
DRC0054,Client_156,CMD10006,1818.06,2024-07-10
DRC0090,Client_247,CMD10007,150.36,2024-03-15
DRC0004,Client_54,CMD10008,675.85,2024-05-11
DRC0016,Client_148,CMD10009,4239.08,2024-01-20
DRC0022,Client_8,CMD10010,5366.83,2024-03-04
DRC0003,Client_195,CMD10011,5986.67,2024-01-31
DRC0028,Client_43,CMD10012,3853.18,2024-07-06
DRC0032,Client_280,CMD10013,7569.2,2024-05-03
DRC0053,Client_88,CMD10014,9892.69,2024-02-21
DRC0079,Client_139,CMD10015,5877.22,2024-05-23
DRC0012,Client_275,CMD10016,8460.96,2024-03-28
DRC0095,Client_177,CMD10017,2179.9,2024-02-10
DRC0050,Client_207,CMD10018,4016.26,2024-07-13
DRC0040,Client_221,CMD10019,3194.54,2024-03-30
DRC0041,Client_170,CMD10020,5699.58,2024-04-16
DRC0008,Client_216,CMD10021,6753.59,2024-03-10
DRC0065,Client_264,CMD10022,862.43,2024-01-10
DRC0013,Client_232,CMD10023,6839.45,2024-06-17
DRC0053,Client_262,CMD10024,8817.56,2024-04-03
DRC0043,Client_231,CMD10025,7397.28,2024-06-21
DRC0100,Client_161,CMD10026,1796.62,2024-03-25
DRC0009,Client_197,CMD10027,1303.91,2024-01-27
DRC0083,Client_36,CMD10028,1611.15,2024-07-17
DRC0010,Client_150,CMD10029,5018.53,2024-07-10
DRC0058,Client_46,CMD10030,764.25,2024-01-06
DRC0007,Client_89,CMD10031,6295.15,2024-02-20
DRC0068,Client_160,CMD10032,2499.37,2024-07-04
DRC0010,Client_287,CMD10033,7433.02,2024-03-27
DRC0047,Client_280,CMD10034,5422.65,2024-03-28
DRC0018,Client_87,CMD10035,7870.61,2024-07-02
DRC0051,Client_296,CMD10036,9150.6,2024-06-03
DRC0046,Client_298,CMD10037,4788.85,2024-06-03
DRC0068,Client_115,CMD10038,8564.48,2024-01-28
DRC0023,Client_225,CMD10039,9355.8,2024-01-28
DRC0084,Client_246,CMD10040,7314.31,2024-05-18
DRC0083,Client_116,CMD10041,3881.47,2024-04-03
DRC0046,Client_81,CMD10042,1334.53,2024-04-06
DRC0005,Client_65,CMD10043,6590.94,2024-01-23
DRC0041,Client_177,CMD10044,1131.19,2024-03-02
DRC0082,Client_277,CMD10045,5003.78,2024-06-23
DRC0075,Client_197,CMD10046,5075.11,2024-01-10
DRC0050,Client_159,CMD10047,6217.71,2024-01-02
DRC0078,Client_192,CMD10048,1928.96,2024-01-19
DRC0081,Client_139,CMD10049,1134.03,2024-05-26
DRC0043,Client_271,CMD10050,5978.57,2024-05-15
DRC0079,Client_191,CMD10051,9835.0,2024-04-03
DRC0099,Client_95,CMD10052,6840.68,2024-02-26
DRC0027,Client_233,CMD10053,6899.87,2024-01-27
DRC0092,Client_135,CMD10054,1346.09,2024-02-25
DRC0094,Client_15,CMD10055,6562.46,2024-06-08
DRC0025,Client_127,CMD10056,2399.82,2024-01-28
